subject,date,crossing number,run,limb_undom,limb,human_hit,human_miss,human_step
MC87,12/10/18,2,L1,Front Left,Nondominant Front,5,1,6
MC87,12/10/18,2,L1,Back Right,Dominant Back,4,0,4
MC87,12/10/18,2,L1,Back Left,Nondominant Back,5,0,5
MC87,12/10/18,3,R2,Front Right,Dominant Front,3,2,5
MC87,12/10/18,3,R2,Front Left,Nondominant Front,4,1,5
MC87,12/10/18,3,R2,Back Right,Dominant Back,3,1,4
MC87,12/10/18,3,R2,Back Left,Nondominant Back,4,0,4
MC87,12/10/18,4,L2,Front Right,Dominant Front,4,0,4
MC87,12/10/18,4,L2,Front Left,Nondominant Front,5,0,5
MC87,12/10/18,4,L2,Back Right,Dominant Back,4,0,4
MC87,12/10/18,4,L2,Back Left,Nondominant Back,3,0,3
MC87,12/10/18,5,R3,Front Right,Dominant Front,4,0,4
MC87,12/10/18,5,R3,Front Left,Nondominant Front,4,0,4
MC87,12/10/18,5,R3,Back Right,Dominant Back,4,0,4
MC87,12/10/18,5,R3,Back Left,Nondominant Back,4,0,4
MC87,12/10/18,6,L3,Front Right,Dominant Front,3,0,3
MC87,12/10/18,6,L3,Front Left,Nondominant Front,4,0,4
MC87,12/10/18,6,L3,Back Right,Dominant Back,4,0,4
MC87,12/10/18,6,L3,Back Left,Nondominant Back,3,0,3
MC87,12/10/18,7,R4,Front Right,Dominant Front,3,2,5
MC87,12/10/18,7,R4,Front Left,Nondominant Front,4,0,4
MC87,12/10/18,7,R4,Back Right,Dominant Back,4,0,4
MC87,12/10/18,7,R4,Back Left,Nondominant Back,4,0,4
MC87,12/10/18,8,L4,Front Right,Dominant Front,4,0,4
MC87,12/10/18,8,L4,Front Left,Nondominant Front,4,0,4
MC87,12/10/18,8,L4,Back Right,Dominant Back,4,0,4
MC87,12/10/18,8,L4,Back Left,Nondominant Back,3,0,3
MC87,12/12/18,1,R1,Front Right,Dominant Front,4,0,4
MC87,12/12/18,1,R1,Front Left,Nondominant Front,5,0,5
MC87,12/12/18,1,R1,Back Right,Dominant Back,4,0,4
MC87,12/12/18,1,R1,Back Left,Nondominant Back,3,0,3
MC87,12/12/18,2,L1,Front Right,Dominant Front,4,0,4
MC87,12/12/18,2,L1,Front Left,Nondominant Front,4,0,4
MC87,12/12/18,2,L1,Back Right,Dominant Back,3,0,3
MC87,12/12/18,2,L1,Back Left,Nondominant Back,3,0,3
MC87,12/12/18,3,R2,Front Right,Dominant Front,4,0,4
MC87,12/12/18,3,R2,Front Left,Nondominant Front,4,0,4
MC87,12/12/18,3,R2,Back Right,Dominant Back,4,0,4
MC87,12/12/18,3,R2,Back Left,Nondominant Back,4,0,4
MC87,12/12/18,4,L2,Front Right,Dominant Front,3,1,4
MC87,12/12/18,4,L2,Front Left,Nondominant Front,5,0,5
MC87,12/12/18,4,L2,Back Right,Dominant Back,4,0,4
MC87,12/12/18,4,L2,Back Left,Nondominant Back,4,0,4
MC87,12/12/18,5,R3,Front Right,Dominant Front,5,0,5
MC87,12/12/18,5,R3,Front Left,Nondominant Front,6,0,6
MC87,12/12/18,5,R3,Back Right,Dominant Back,4,0,4
MC87,12/12/18,5,R3,Back Left,Nondominant Back,4,0,4
MC87,12/12/18,6,L3,Front Right,Dominant Front,3,1,4
